文本,价格,外观,质量
杯子 小巧玲珑 好看 好用 ,0,1,1
家里 老人 熬 完 设计 熬药 往外 溢出 熬 完后 倒 质量 好 京东 物流配送 速度 服务 ,0,0,1
咖啡杯 不错 质量 异味 京东 很快 送到 家 ,0,0,1
不错 大小 合适 纠结 半天 选 2.5 3.5 2.5 一家 三口 够 太大 安逸 开 锅 煮 点 稀饭 放 两天 炖 牛肉 不错 喜欢 ,0,1,0
烟灰缸 不错 质量 做工 厚实 档次 不错 大小 合适 盖子 烟味 价格 实惠 物有所值 欧式 风格 ,1,1,1
特别 超乎 预期 包装 做工 一点 瑕疵 大大的 赞 ,0,0,1
盘子 美观 喜欢   昨晚 拿来 装 炒饭     非常容易 清洗   洗洁精     下次 买 牌子 ,0,1,0
不值 多钱 贵 难看 瑕疵 太 垃圾,-1,-1,-1
收到 货 迫不及待 外观 漂亮 容量 熬药 特别 满意 ,0,1,0
砂锅 不错   质量   特意 买来 宝宝 熬汤   家里 孩子 真得 买   熬粥   做 麻辣烫     味道 真得 锅 做 好吃   信赖 京东 ,0,0,1
杯子 很漂亮     很重 厚实    配备 齐全   送 电子 勺子     想象 中 一点   很大 ,0,1,1
漂亮 看着 想 淘 满意 购物 速度 态度 友好 ,0,1,0
卖家 服务态度 质量 棒棒 哒 支持 ,0,0,1
超级 超级 好看 质量 碰碎 大小 合适 看着 舒服 超级 超级 喜欢 四个 碗 四个 小蝶 筷子 汤匙 太 美妙 哒 ,0,1,1
杯子 拿到 手       好看     很漂亮     质量  结实     喜欢 ,0,1,1
可爱 噢 包装 特别 物流 超级 昨天下午 下单 今天上午 速度 快得 惊人 好评 祝 生意兴隆 ,0,1,0
美观 程度 碗 不错 摆在 耐看 艺术品 精致 四菜 一汤 白米饭 刚刚 带个 汤勺 ,0,1,1
气味 希望 早点 散掉 盘子 外观 不错 ,0,1,0
没想到 收到 检查 完好无损 很漂亮 大小 刚刚 满意 ,0,1,1
很漂亮 性价比 高 ,1,1,1
搞 活动 本来 想 买 肥皂盒 错 拍 烟灰缸 疫情 久 收到 做工 不错 样式 好看 价 绝对值 搞 活动 买个 肥皂盒 ,1,1,1
美观 程度   难易 极易   瓷质 效果 光滑   瓷质 品质 细腻   质地 效果   釉面 品质 ,0,1,1
超级 袖珍 小碗 吃 米饭 左下角 很小 ,0,-1,0
精致   工艺 品质 瓷   漂亮 ,0,1,1
外观 包装 外观 包装 包装 挺 结实 远运 一丝 磕磕碰碰 完好无损   美观 程度 这套 碗碟 套装 好看 厚度 合适 不薄 烫手 摸 手感 不错   商品 花纹 好看 盘子 碗 深度 够 盘子 装菜 好装   体验 一段时间 总体 放 微波炉   一句 话 三十块 钱 东西 物超所值 ,1,1,1
发货 好快 两天 太 完美 包装 喜欢 满意 大小 合适 特别 满意 希望 下次 活动 满意 满意 速度 太 满意 ,0,1,0
东西 值得 拥有 希望 新品 失望 赞 性 比价 高 ,1,0,1
样子 便宜 好看 ,1,1,0
精美 餐盘 洁白如玉 甚 喜欢 送 汤勺 实用 ,0,1,1
漂亮 便宜 结实 全 五分 好评 ,1,1,1
碗盘 套装 发货 速度 包装 完好 磕碰 做工 不错 釉下彩 装盘 看着 食欲 大小 刚刚 碗盘 底部 加高 贴心 防烫 ,0,1,1
不错 便宜 价格 买 质量 服务 满意 次寄来 物流 原因 几个 损坏 补发 说 信誉 品质 京东 值得 信赖 买 满意 ,1,0,-1
家里 炖鸡 合适 锅底 京东 挑选 选择 一款 泥火匠 斑马 如意 汤煲 外观 很漂亮 一件 精美 工艺品 过些天 炖制 老母鸡 炖汤 效果 ,0,1,0
杯子 感觉 上班 还行 好看,0,1,0
好看 爸爸 喜欢 颜色 搭配 好看 价格 实惠 ,1,1,0
好看 贵 ,-1,1,0
外观 包装 包装 泡沫 包裹 严实 一点儿 破损   美观 程度 盘子 碗 特别 漂亮 简单 款式 特别 喜欢 推荐 购买 呦 ,0,1,1
分量 感 砂锅 厚实  容量 很大   很能 装   正式   完 追评 ,0,1,1
超级 无敌   拿来 喝酒 质量 挺不错   干不了 ,0,0,1
挺 小碗 可爱 挺 实用 ,0,1,1
纯白色 可爱 盘子 想 用于 微波炉 热菜 京东 自营 质量 保障 物流 很快 包装 用心 感谢 京东 师傅 ,0,1,1
质量 不錯 ,0,0,1
餐盘 超出 预期 白色 雅 好看 不像 骨瓷 坏 厚实 ,0,1,1
一如既往 质量 杠杠 全 五分 赞 下次 光顾 ,0,0,1
好看 保温 效果 不错 ,0,1,1
颜值 高 实用性 很强 收到 货 做 黄焖 ,0,1,1
美观 程度 外观   漆 感觉 挺 均匀   外观设计 不错 感觉   表面 手感 不错 陶瓷   手工 工艺 不错   实用 效果 实用 满意 购物 ,0,1,1
外观 包装 包装 坏 不错   美观 程度 盘子 经典   体验 盘子 放鱼 菜 碗 还好 深   隔热 效果 隔热 效果 不错 端 行 ,0,1,1
爱仕达 锅 确实 不错 炒锅 平底锅 蒸锅 加 砂锅 质量 没得说 品牌 值得 信赖 砂锅 感觉 容量 合适 六升 家里 人口 正好 京东 物流 ,0,1,1
高端 大气 上档次 喝 很爽 易碎 ,0,1,-1
外观 不错 ,0,1,0
好看 杯子 值得 拥有 ,0,1,0
挺 做工 精细 颜色 更好 ,0,1,1
行 大爱 大小 合适 喜欢 下次 还会 光顾 还来 这是 愉快 购物 ,0,1,0
买 东西 评价 套餐 具 真心 好看 素雅 大爱 ,0,1,0
杯子 颜值 高 红色 很漂亮 手机 美颜 效果 太强 颜色 调得 太亮 本来 偏 朱红色 杯子 好看 照片 太亮 原味 个人感觉 杯子 颜值 美 杯子 做 精致 配上 盖子 免受 灰尘 污染 水 勺子 拿来 喝咖啡 不错 ,0,1,1
漂亮 不错 搞 活动 买 实惠 ,1,1,0
很快 收到 货 包装 完好 瑕疵 特别 满意 精致 高品质 一分钱 一分货 便宜 材质 外观 质量 一看 上档次 喜欢 ,1,1,1
质量 包装 不错 ,0,0,1
帮 同学 买 挺  好看 说 还行 ,0,1,0
砂锅 不错 质感 细腻 颜值 高关键 炖 吃 心心念念 买回来 失望 姑姑家 吃 砂锅 炖 酸菜 感觉 特别 好吃 在家 炖 总 感觉 味道 淡 味儿 做法 好像 差别 砂锅 买 试试 不错 煮 味道 好多 砂锅 上桌 凉 吃 出汗 有滋有味 估计 炖点 排骨 煮 米线 超棒 ,0,1,1
送货 速度 很快 上午 订 下午 送到 物品 高大 精美 质量 完好 厚实  噢 建议 购买 ,0,1,1
商品 收到 咯 特别 喜欢 收到 迫不及待 打开 家人 满意 购物 体验 不错 超出 预期 质量 做工 精细 好看 满意 实体店 区别 便宜 喜欢 优惠 赶紧 入手 正品 包装 破损 质量 没得说 棒 价格 实惠 质量 杠杠 购物 下次 还来 ,1,1,1
完美 符合 我要 陶瓷杯 一点 损坏 泡沫 盒装 选 多款 陶瓷杯 喜欢 唯独 星座 适合 气质 好评 ,0,1,0
  煮 粥 煲 汤 保温 很棒   煮粥 要别 煮 太久 干   孔 煮粥 沸腾 乱 喷 喷 一墙 汤 难受   美中不足 底部 烧 黑 迹象 搞 好看   花纹 特 漂亮   羊肉 排骨汤 好喝   放 中草药 大补   萝卜 鲜美 ,0,1,1
熬 药 盖 浦 大小 合适 满意 购物 ,0,1,0
套装 喜欢 颜色 花俏 美观大方 那种 大小 适合 口 家用 微波炉 加热 那种 看着 瓷 质量 挺 密度 京东 超市 特 商品 很快 ,0,1,1
外观 包装 材质 质量 不错 到货 很快 ,0,0,1
宝贝 收到 质量 不错 表面 光滑 质地 细腻 喜欢 好看,0,1,1
颜值 超级 高 收到 货 破损 锅 体内 外 光滑 颜色 很正 偏差 喜欢 推荐 购买 ,0,1,1
盘子 挺不错 干净 喜欢 那种 花花绿绿 纯白色 好看 盘子 装菜 厚实 材料 不错 陶瓷 ,0,1,1
设计 有意思 不错 高冷 ,0,1,0
美观 程度 好看   外观设计 喜欢   表面 手感 不错 ,0,1,1
京东 物流 超快     宝贝 收到     包装 完好   做工 精细   表面 光滑 细腻   红 黑色 搭配 太漂亮   太 喜欢 ,0,1,1
外表 好看   好看   物流 贼   破损   做工 精致 ,0,1,1
质量 服务 特别 周到 运输 过程 一点 补发 补发 质量 十分满意 非常感谢 ,0,0,1
物流 很快 小哥 热情 杯子 质量 不错 喝 喝咖啡 ,0,0,1
买 盘子 太 喜欢 颜色 白得 档次 大小 炒 菜 提高 看相 ,0,1,0
东西 样子 还行 鹿是 材质 塑料 不好 发货 拖 天 ,0,1,-1
盘 扁 性价比 高 ,1,0,1
收到 第二天 煎药 砂锅 挺 轻巧 容量 刚刚 希望 耐用 实体店 买 砂锅 几天 就裂 送货 速度 很快 预计 时间 提前 几天 还用 京豆 抵 块钱 到手 价才 十多 划算 好评 好评 ,1,1,1
杯子 容量 质量 好 设计 精美 星座 图案 不俗 喜欢 买 两个 ,0,1,1
价格 合适 美观 质量 好好 好好 ,1,1,1
顺利 购物 京东 链接 便捷 费 时间 物流 很快 没想到 商品 商标 验货 挺 完美 赏心悦目 经济 值得 夸赞 包装 严密 严丝合缝 确保安全 无损 值得 信赖 推荐 ,1,1,1
锅 收到 也动 鸡汤 克服 方法 做 洗过 炖鸡汤 好喝 价格 合适 美丽 喜欢 朋友 入手 ,1,1,0
美观 程度 买 白色 个人感觉 看着 舒服 款式 喜欢   外观设计 外观设计 挺不错 看着 不错   表面 手感 光滑 瑕疵 干净   手工 工艺 不错   实用 效果 拿来 泡 咖啡 不错 挺 喜欢   特色 杯底 超出 想法 杯底 挺 防滑 喜欢 手感 不错 还个 杯子 隔温 值得 购买 ,0,1,1
买 碗碟 套装 收到 颜值 惊艳 花纹 特别 显得 高档 一套 价格 不贵 特别 适合 搬 新房 颜色 干净 声音 清脆 值得 购买 ,1,1,0
复古 时尚 水喝 甜 ,0,1,0
厂商 配送 到货 包装 完好 打开 损坏 并非 残次品 查看 质量 釉下彩 有益于 健康 颜色 简洁 大方 太 修饰 厚度 大小 介绍 符合 预期 值得 购买 ,0,1,1
价廉物美 实惠 一套 六个 性价比 高 送货 包装 完整 破损 洁白 靓丽 比带 花纹 耐看 盛 食物 显得 干净 美观 ,1,1,1
包装 破损 质量 不错 摸 光滑 不错 购物 体验 ,0,0,1
买 小熊 小号 砂锅 感觉 一家 三口 容量 正好 炖 东西 包装 严实 发货 很快 第二天 上午 收到 特意 用过 几次 评价 忍不住 败 回来 -_- ,0,1,1
外观 包装 外观 包装 包装 完好   美观 程度 简单 大方   体验 不错 ,0,1,1
美观 程度 杯子 外观 可爱 挺 好看   外观设计 可爱 好看   表面 手感 手感 顺滑 挺 细腻   手工 工艺 工艺 不错   实用 效果 收到 迫不及待 沏 杯 咖啡 好使 毛病   特色 设计 盖子 勺子 挺 ,0,1,1
活动 买 划算 ,1,0,0
苏泊尔 家庭 厨房用品 很棒 砂锅 价格 不贵 容量 不小 品质 不错 形状 值得 购买 给予 好评 京东 物流 当天 下单 天 送达 大大的 赞 希望 说 购物 ,1,1,1
卖家 发货 噢 物流 挺快 服务 贴心 花色 很漂亮 满意 ,0,1,0
上午 下午 送到 手里 水土 不服 就服 京东 砂锅 大小 合适 质量 特别 赞 看着 喜欢 追加 ,0,1,1
京东 物流 一如既往 地棒 很快 力 想买个 适中 汤煲 这款 汤煲 简单 耐看 实惠 好用 煲汤 合适 毫不犹豫 下手 买 ,1,1,1
不错   第一次 购买   精致 ,0,0,1
碗 很快 收到 买 两家 一套 那套 发出 这套 收到 包装 结实 打开 坏 价格 挺 美丽 原本 一套 二百多 放弃 买 两套 套装 感觉 那种 五六十 件套 多余 ,1,0,1
东西 说 三遍 这套 碗 具 便宜 漂亮 物美价廉 这套 碗 具 便宜 漂亮 物美价廉 这套 碗 具 便宜 漂亮 物美价廉 ,1,1,0
想着 网上 买个 砂锅 京东 砂锅 清新 可爱 容量 价格 实惠 一口气 买 两个 到货 很快 买 第二天 想象 中 好多 没想到 容量 听说 牌子 砂锅 质量 不错 没用 先 好评 ,1,1,1
此杯 美观 黑色 更显 大气 实用 喝奶 咖啡 ,0,1,1
划算 汤碗 挺大 满意 ,1,1,0
挺 颜色 古朴 盘子 很深 能放 菜 喜欢 样子 美轮美奂 瓷器 一点点 瑕疵 地方 没抹 均匀 值 价位 关系 价位 合适 买 不错 微波炉 瓷器 金属 做 颜料 金色 红色 微波炉 青花 蓝色 能用 谢谢 厂家 产品 ,1,1,-1
速度 太快 下次 还会 购买 正品 活动 ,0,0,1
不错 砂锅 观察 很久 活动 果断 下单 砂锅 炖汤 养 养身 汤味 确实 好喝 ,1,0,0
杯子 好看   多大 能装 水 陶瓷 质地 细腻 ,0,1,1
收到 质量 不错 颜色 好看 喜欢 包装 一点 破损 少发 同意 补发 说 好评 ,0,1,1
款 砂锅 颜值 高 做工 精细 外观 简洁 容量 煲汤 炖肉 四口 家 一八 活动 期间 优惠 力度 很大 包装 严谨 细致 发货 速度 ,1,1,1
外观设计 不错 一款 杯子 ,0,1,0
杯子 精美 特别 好看 充 咖啡 正好 量 勺子 美美 哒 开心 上班 心情 高 舒服 东西 从来不 哒 杯子 好看 喜欢 宝贝 下手 红色 时尚   美观 程度 好看   外观设计 大方   表面 手感 舒适   手工 工艺 精美   实用 效果 实用 ,0,1,1
炖汤 专用 锅 美味 汤 炖上 一锅 喝上 冬天 喝 点汤 有助于 过冬 外观 简单 美观 红色 盖子 大小 合适 做 几次 金针菇 番茄 肥牛 汤 美味佳肴 京东 购物 ,0,1,0
用到 一个月 质量 盘子 洗 大方 干净 活动 买 一套 凑   外观 包装 结实   体验 质量   瓷质 效果   隔热 效果   美观 程度 大方 ,1,1,1
下单 第二天 上午 收到 京东 速度 神速 老妈 买 实物 听 老妈 说 挺 样子 好看 再来 追评 ,0,1,0
很漂亮 感觉 质量 挺 结实 收到 货 追评 太快 服务 分 ,0,1,1
颜值 高 盘子 质量 耐用,0,1,1
"物流 很快 卖家 描述 完全一致 , 个个 喜欢 真心 喜欢 她家 宝贝 好看 品牌 相比 , 图片 喜欢 购物 宝贝 卖家 描述 卖家 态度 ",0,1,0
质量 不错 喜欢 买 ,0,0,1
买 整套 家里 风格 搭 清新 风格 可爱 大小 合适 菜盘 精致 售后 不错 满意 ,0,1,1
不错 质量 不错 物 廉价 美 很漂亮 包装 东西 齐全 ,1,1,1
美观 程度 外观 时尚 设计 新颖   外观设计 手感   手工 工艺 精细 打磨 ,0,1,1
砂锅 质量 烧 东西 味道 速度 很快 砂锅 做工 很棒 值得 推荐 产品 颜色 搭配 好看 锅 尺寸 适合 家用 不错 ,0,1,1
高端 大气 上档次 低调 奢华 内涵 物超所值 做工 精致 值得 拥有 不错 购物 满意 满意 ,1,1,1
颜值 实用性 并存 厨具 买 四个 盘子 四个 碗 感觉 实用性 棒 盘子 深度 够 两个 量 菜 吃 奈斯 值得 推荐 ,0,1,1
方便快捷     大肚 锅 之间 纠结 好久   买   3.5     看着 蛮大   冬天 煲汤   砂锅 厚实   保温   淡蓝色 锅盖   颜值 高   喜欢 ,0,1,1
砂锅 大小 合适   卡通 图案 爱 一家 四五口 够用   炖汤 很鲜   赞赞赞 ,0,1,0
实惠 精致 碗碟 ,1,0,1
不错 砂锅 炖肉 煮粥 不错 黑色 喜欢 容量 够 三口 够用 ,0,1,0
简风 超级 喜欢 买 第二个 好看 档次 ,0,1,0
收到   包装 结实 破损 物流 给力 京东 品牌 重点 好看 便宜 爱 爱 ,1,1,1
美观 程度 挺   外观设计 好看   表面 手感   手工 工艺 不错   实用 效果 实用   特色 大小 合适 ,0,1,1
价格 太 实惠 做工 精美   性价比 高 ,1,1,1
东西 收到 东西 瑕疵 东西 收到 检查一下 包装 严实 炖 红烧肉 特别 好吃 喜欢 喜欢 好评 好评 ,0,0,1
外观 包装 装在 泡沫 箱子 里 完整 美观 程度 美观大方 档次 高 显好   商品 使用方便   体验 ,0,1,1
没用 锅 造型 太 好看 材质 手感 特别 喜欢 ,0,1,1
美观 程度 碗 外面 漆黑 色 些许 白色 点缀 好像 星空 特色 米 白色 造型 简约 时尚 喜欢   难易 碗 浅 碗壁 厚实 小孩 大小 合适   瓷质 效果 瓷 质量 敲上去 声音 好听   瓷质 品质 品质 优良 表面 圆润 光滑 坑坑洼洼   釉面 品质 釉面 纯净 看不出 釉面 内有 杂质 ,0,1,1
这碗 看着 不错   三个 小盘 大盘   拆 拿来 洗   晚上   外观 好看 ,0,1,0
外观 好看 拿到 手 煮 点 粥 开锅 倒掉 洗 干净 容量 很大 实用 不错 ,0,1,1
  外观设计 简约 大方   表面 手感 摸 舒服 ,0,1,1
杯子 挺 小哥 太 小心   杯 碎成 几块 店家 说 店家 发 感谢 店家 祝 店家 销量 升升 升 特意 提醒 小哥 易碎 物品 轻 轻放   谢谢 ,0,0,-1
好看 好看 好看 好看 好看 ,0,1,0
差评 筷子 特别 浓重 油漆味 洗碗机 高温 洗 两次 洗碗机 油漆 刺鼻 味道 筷子 说 质量 补偿 元 换 一套 味道 筷子 不肯   十块钱 送给 买 良心 垃圾 产品 ,0,-1,-1
东西 很大     包装     图案 喜欢     值得 购买     很快 ,0,1,0
宝贝 收到 包装 完好 杯子 外观 亮泽 好看 勺子 喜欢 满意 ,0,1,1
感谢 京东 东东 农场 浇水 兑换 物流 速度 包装 精美 碗筷 勺子 碟子 实用 破损 人士 放心 购买 ,1,1,1
美观 程度 很漂亮 质感 高级   实用 效果 量 很大 ,0,1,1
挺 好多 盘子 质量 不错 外观 不错 ,0,1,1
多好 盘子 价钱 便宜 景德镇 发货 质量 保障 价钱 便宜 谢谢 卖家 ,1,0,1
美观 程度 好看   外观设计 大气   表面 手感 刚刚   手工 工艺   实用 效果 实用 ,0,1,1
喜欢 款式 时尚 新潮 碗碟 质量 做工 精细 整体 性价比 高 满意 ,1,1,1
美观 程度 杯子 色彩 好看   表面 手感 舒服 ,0,1,1
东西 很快 收到 外观 看着 好看 高端 大气 很沉   东西 陶瓷 烧结 做工 精细 手感   喜欢 喝汤 买来 没事 煲 点汤 炖点 肉 吃 ,0,1,1
杯子 外观 简洁 漂亮 异味 手感 很棒 态度 少 盖子 协商 解决问题 满意 购物 ,0,1,1
家里人 吃药 找到 卖 中药 罐 地方 京东 发现 药罐 不错 隔热 赶紧 下单 第二天 耽误 吃药 买来 药 熬 谢谢 大哥 ,0,0,1
锅 挺 买 一点儿 炖 一只 这点儿 肉 熟 香 一款 产品 质量 挺不错 ,0,0,1
煲汤 锅颜值 高 大小 合适 炖汤 喜欢 家里 麦饭石 炒锅 新 入手 煲汤 锅 爱仕达 品牌 爱仕达 品牌 值得 信赖 ,0,1,0
京东 水果 图案 简洁 大方 物流 包装 完整 破裂 喜欢 点赞 ,0,1,1
一般般 质量 差 难看,0,-1,-1
物流 晚上 拍 第二天 收到 货物 惊喜 信赖 爱仕达 牌 东西 爱仕达 我家 炒锅 牌子 收到 卖家 包装 卖家 用心 层层 包装 保证 货物 打开 包装 做工 惊喜 做工 精细 一看 品牌 一点 味道 满意 ,0,0,1
大小 正合适 外形 美观 陶瓷 细腻 光滑 ,0,1,1
美观 程度 外观设计 符合 预期 京东 平台 展现 图片 视频 吻合 制作 工艺 精细 配备 咖啡 勺 杯子 搭配 京东 物流 一如既往 迅捷 ,0,1,1
外观 包装 完好无损 满意   美观 程度 简约 大方 看着 舒服   商品 主打 简约 风 养眼   体验 一段时间 体验   瓷质 效果 光滑   物流 速度 很快 京东 点 物流 点个 赞 ,0,1,1
收到 货 迫不及待 煲 鸡汤 味道 特别 外观 精美 图案 很漂亮 煲 完汤 清洗 残留 印记 款 煲汤 砂锅 真心 不错 好评 购物 认准 京东 偏远地区 发货 第一天 下单 隔 到货 ,0,1,0
满意 东西 不错 叠放 没什么 空隙 占 地方 好多 好看 叠放 堆得 高 稳当 ,0,1,0
客户 评价 确实 不错 图片 外观 很棒 ,0,1,0
精致 很漂亮 精致 摆件 舍得 拿来 装 烟灰 最最 关键 一毛钱 到家 ,1,1,1
六升 锅 四个 做 汤 喝 完 人口 少 建议 小锅 容量 很大 锅体 光滑 无痕 清洗 水开 速度 锅体 不锈钢 保温 时时 长 不错 购物 体验 用过 几次 感觉 棒 东西 值得 分享 大赞 京东 忠实 粉丝 ,0,1,1
京东 果园 收到 第二套 质量 双 筷子 四只 汤匙 盘子 碗 款式 简约 时尚 质量 瓷质 效果 包裹 完好无损 ,1,1,1
买 久 熬 排骨汤 鱼汤 小份 做过 煲仔饭 成功 砂锅 人口 少 家庭 福音 物流 快速 包装 完整 不错 ,0,0,1
美观 程度   外观设计 喜欢   表面 手感 光滑   实用 效果 装 热水 烫手 ,0,1,1
描述 图片 相符 漂亮 做工 完美 ,0,1,1
美观 程度 简约 大方 好看 喜欢 推荐 携带 盖子 喜欢 小勺   外观设计 外观设计 简约 大方 时尚 喝咖啡   表面 手感 手感 顺滑 喜欢   手工 工艺 工艺 质量   实用 效果 实用 喜欢   特色 京东 很快 小哥 态度 ,0,1,1
好长 一段时间 不错 特别 倒 药汤 容量 足够 送 防烫 盖帽 隔 滤嘴 不错 倒 ,0,1,1
砂锅 长得 太 可爱 瓷质 细腻 厚实 耐用 价格合理 太爱 ,1,1,1
疫情 期间 砂锅 意料之中   拿到 煲 鸡汤   味道鲜美 锁住 汤 味道 家里人 说好 空间 足够 清洗 买 失望 ,0,1,0
喜欢 外观 超出 期望值 发货 速度 包装 仔细 严实 运送 速度 很快 满意 购物 ,0,1,1
外观 包装 真 说 一层 套 一层 结实 不错 表面 圆滑 印花 纹理 清晰 背面 标注 清晰 真材实料 买 两套 实用 ,0,1,1
不错   物流 很快 急 满意哦 包转 不错   正品   回去   期待   熬 中药 ,0,0,1
容量 很大 质量 厚实 杯壁 烫手 勺子 ,0,1,1
配备 科学 实用 ,0,0,1
颜色 鲜艳 包装 严密 纯色 大小 合适 端 舒服 没冲 咖啡 忘记 勺子 ,0,1,1
砂锅 颜值 挺 高   白色 耐脏   小熊 品牌 值得 信赖   品质 好 挺   煮 稀饭   炖肉 合适   清洗   小巧 轻便 放在 橱柜 占 位子 ,0,1,1
包装 严实 初次 大小 合适 黑色 大气 耐用 ,0,1,1
美观 程度 漂亮   商品 厚实   体验   瓷质 效果   隔热 效果   外观 包装 严实 ,0,1,1
美观 程度 不错 印象 中 接近 ,0,1,0
冲着 颜值 买 喜欢 颜色 品牌 质量 不错 煲汤 煲 肉 做起 味道 确实 锅香 传热 均匀 好吃 ,0,1,1
外观 包装 完整   美观 程度 好看   隔热 效果 试   瓷质 效果 感观   商品 物美价廉   体验 Ok ,1,1,1
几天 评价 锅 不错 光滑 家里 刚刚 好用 煮 一只 一点 不小 煮汤 好喝 煮粥 适合 推荐 买 京东 自营 买 保障 ,0,0,1
不错 挺 漂亮 ,0,1,0
碗子 不错 大小 合适 饮汤 甜品 统统 想 买 无货 ,0,1,0
易碎品 包装 结实 运输 保护 损坏 非常感谢 碟子 表面 光滑 做工 不错 瓷质 纯白 颜色 显得 上档次 品味 很合 胃口 特 满意 碟子 洁白 清洗 热水 洗 不用 清洁剂 购物 满意 ,0,1,1
质量 买回来 砂锅 好太多 容量 很大 药多 ,0,1,1
买回来 煮 药用 白色 黑色 清洗 不粘锅 效果 推荐 购买 大小 合适 ,0,1,0
杯子 太好了 特别 贴心 多重 防护 完好无损 赞 ,0,0,1
京东 速度 晚上 下单 第二天 上午 包装 严实 大小 合适 手感 天凉 正好 做 牛腩 煲 羊肉 煲 猪肉 炖 粉条 妈呀 全是 肉 吃 完 减肥 ,0,1,1
颜色 好看   挺 厚实 陶瓷杯   健康   环保   勺子 盖子   想要 类型 ,0,1,1
砂锅 真棒 做工 精细 秒 杀价 超值 冬天 煲汤 煮粥 砂锅 排骨 味道鲜美 不错 选择 ,1,0,1
拿到 手 完好 里边 放 保护 沫 ,0,0,1
第二次 购买 质量 很漂亮 一家 四口 人用 足够 炖肉 熬粥 ,0,1,1
包装 扎实 产品 厚实 符合 预期 赞 ,0,0,1
外观设计 圆润 行云流水 超级 喜欢 色泽 亮丽 价格 超级 实惠 说 喝水 ,1,1,0
花色 挺 漂亮 包装 感觉 ,0,1,0
好看 好用 质量 不错 ,0,1,1
杯子 挺 物流 很快 黑色 看着 很大 气 ,0,1,0
药锅 到手 很快 物流 确实 值得 赞 配 小勺 东西 药 砂锅 手上 分量 感觉 重 实实在在 东西 握把 导热 熬药 用布 垫 烫手 ,0,0,1
小熊 砂锅 结实 质量 买 一大 一小 容量 够用 ,0,1,1
质量 没得说 专卖店 特别 特别 喜欢 价格 优惠 物流 速度 很快 包装 仔细 收到 货 一点 感觉 碗 盘子 不太 实用 ,1,0,1
包装 不错 送过来 损坏 实物 照片 无差别 ,0,0,1
挺不错 碗筷 美观 喜欢 ,0,1,0
挺 外观 好看 过会 试试 ,0,1,0
质量 挺 手感 挺不错 喜欢 ,0,0,1
瓷罐 包装 严实 外观 完好无损 装水 实验 不漏水 火上 熬 煮 开裂 熬汤 神器 京东 物流 神速 满意 购物 ,0,0,1
水果 免费 质量 不错 包装 没破 花纹 很赞 一如既往 支持 京东 ,1,1,1
活动 太给力 碗碟 质量 样子 好看 果断 入手 碗 大小 适中 控制 饭量 适合 想 减肥 入手 理由 吃 负担 ,1,1,1
满意 购物 大小 合适 棒 ,0,1,0
锅 很漂亮 大小 适中 清洗 做 砂锅 鱼头 煲 粥 汤 ,0,1,0
搞 活动 买 价格 划算 完京豆 红包 十多块 钱 盘子 大小 刚刚 碗 包装 不错 损坏 ,1,1,1
陶瓷 砂锅 收到 不错 不错 挺 拿到 手 颜值 高 插曲 解决 速度 面 光滑 收口 容量 很大 盛 食材 不错 家人 夸奖 不错 值得 一买 ,0,1,1
美观 程度 好看 图片 宣传 一模一样   外观设计 外观设计 杯子 很大   表面 手感 手感 不错 杯子 盖 摔坏   手工 工艺 工艺   实用 效果 舒服 ,0,1,1
秒杀 购买 一套 两碗 两勺 两筷 两盘 釉下彩 价格 便宜 收到 大为 惊喜 质量 太好了 手感 不错 大小 正合适 太好了 ,1,1,1
不错 瓷质 细腻 光滑 花纹 大气 薄厚 适中 大小 合适 喜欢 ,0,1,1
朋友 买 听说 质量 不错 感觉 挺 ,0,0,1
值得 拥有 下次 回来 行物 所值 很快 店家 宝贝 收到 真行 宝贝 图片 外观 没差 喜欢 朋友 下单 期望值 卖家 发货 速度 放心 选购 ,0,1,0
锅 熬粥 煲汤 煮 茶叶蛋 想到 煮 煮 通透 食物 吃 铁锅 炖 好吃 样子 好看 选 ,0,1,0
满意 购买 产品 好看 物流 很快 ,0,1,0
满意 太漂亮   ,0,1,0
东西 收到 预期 好看 想象 买 预期 期待 店家 服务 到位 解答 这家 店 发货 很快 包装 用心 完整 还会 这家 店 购买 ,0,1,1
太 超值 美 不像话 ,1,1,0
第二次 买     第一次 买 盘子 黑点       老想 扣       第二次 买 ,0,-1,0
包装 物流 很快 碗碟 筷勺 颜色 款式 喜欢 看着 很大 气 汤勺 瑕疵 说 偶发 申请 赔付 满意 回购 ,0,1,-1
开箱 惊喜 包装 完好 好看 贴心 地送 漏斗 勺子 疫情 原因 延迟 送货   京东 送货上门 热情 态度 周到 服务 很暖心 药锅 质量 太棒了 超赞 ,0,1,1
砂锅 不错 305 升 够 一家 三口 外观 特别 可爱 漂亮 煮粥 炖肉 品牌 选 小熊 惊喜 打算 入手 ,0,1,0
手感 不错 符合 岁 老年人 ,0,0,1
美观 程度 简洁 美观 颜色 白亮 剔透   花型 设计 花纹 设计 纯白色   清洗 难易 易清洗 沾 油污   做工 品质 做工 细腻 精致   瓷质 效果 精致 白瓷 系列   美观 程度 外形 美观大方   总体 物有所值 值得 推荐 ,1,1,1
垃圾 东西       质量 巨差 ,0,0,-1
包装   发货   泡沫 箱 包装   特别 严实   碗 完整     卖家 用心   盘子 好看     推荐 朋友 买 ,0,1,1
